Time Serie,Unnamed: 0,AUS/US,EU/US,NZD/US,UK/US,BRZ/US,CND/US,CHN/US,HNGK/US,INDIA/US,KOR/US,MEX/US,AFR/US,SNG/US,DNM/US,JPN/US,MLY/US,NOR/US,SWD/US,SRLNK/US,SWTZ/US,TIWN/US,THAI/US,INDIA_pct,SRLNK_pct,AUS,NZD_pct,UK_pct,BRZ_pct,CND_pct,CHN_pct,HNGK_pct,SNG_pct,DNM_pct,JPN_pct,MLY_pct,NOR_pct,SWD_pct,SWTZ_pct,TIWN_pct,THAI_pct,AFR_pct,KOR_pct,MEX_pct,EU_pct,INDIA_CDF,SRLNK_CDF,AUS_pct,AUS_CDF,NZD_CDF,UK_CDF,BRZ_CDF,CND_CDF,CHN_CDF,HNGK_CDF,SNG_CDF,DNM_CDF,JPN_CDF,MLY_CDF,NOR_CDF,SWD_CDF,SWTZ_CDF,TIWN_CDF,THAI_CDF,AFR_CDF,KOR_CDF,MEX_CDF,EU_CDF
2000-01-31,10.0,1.524645,0.987345,1.95105,0.6096199999999999,1.8057349999999999,1.4486,8.279215,7.779059999999999,43.5895,1130.99,9.493525,6.13086,1.675665,7.349175,105.296,3.8,8.024125,8.49175,73.14,1.59026,30.889499999999998,37.38,0.012089749860891431,0.08741455579190517,0.17745903492378462,0.3171739747115721,0.030033170821737527,-0.005932218099850766,0.01947746198150442,-0.0013350055407222363,0.0030449197123840286,0.1407913957930782,0.2161864865098658,0.28648973949606465,0.0,0.21964467780823482,0.22939183564375168,0.22640566770108303,-0.100327550289604,0.08317902303768043,0.1598346863772155,-0.016724902809420916,0.13290746850972657,0.21302372735246178,0.09555079497257939,1.221190449359763,0.17745903492378462,0.5305414899587187,2.6183829696966434,-0.8486540619353833,0.07207504078176637,0.15630044755034167,-0.0074374486907870605,0.0346474229353919,1.2233272865628972,0.29635363749659477,3.6773197443701116,0.0,0.7933709035532384,0.609092977166435,0.6372551793324527,-1.5516235568710985,1.176960475351498,0.08373926418361906,0.30298589202327225,1.035485335531732,0.290784802049521
2000-02-29,30.8,1.593205,1.0170249999999998,2.039655,0.62502,1.7765,1.45121,8.27812,7.78164,43.653999999999996,1129.7455,9.426525,6.3209,1.7027899999999998,7.572464999999999,109.3885,3.8,8.237425,8.64795,73.55199999999999,1.63477,30.80575,37.758500000000005,4.4325954470236795e-05,0.017797642297046057,0.18306506006726786,0.09174711018950121,0.1271765228484517,-0.09167927211386873,-0.003651467611710535,0.0005437160986110356,0.0014781953400405667,0.06654779231670738,0.06306919647964815,0.11931569093668937,0.0,0.05026269833636021,-0.034494813660296275,0.0548075018007016,0.0065840308036801964,0.07744101508253498,0.02236360097001233,0.03329105216170969,-0.1442885994848192,0.062359345285869505,0.23927784176047684,1.741151435239889,0.18306506006726786,5.0496037797739675,7.067131780723285,1.7146806112073576,-1.5314559923420672,0.3395620504756025,-0.020290292292168832,0.06608244546478848,2.7807287537146963,3.3403157294890677,7.354681671853159,0.0,3.4257022433197504,2.471763948486037,3.432762555015702,-1.6316638350275958,2.137723488058445,3.1738540722515562,0.19870150915241303,0.2912745845037784,3.302573343575588
2000-03-31,53.0,1.641086956521739,1.037013043478261,2.0404304347826083,0.6329478260869565,1.7423782608695653,1.4607739130434783,8.278560869565217,7.7847608695652175,43.638260869565215,1116.3904347826087,9.288586956521739,6.4675,1.7153434782608696,7.722830434782609,106.30739130434783,3.8,8.409995652173913,8.697108695652174,73.80956521739131,1.6636173913043477,30.71978260869565,37.92260869565217,2.2622328184642424e-05,0.00611446733156674,0.06819078959556608,-0.08132889217402725,-0.038022341730704,-0.06558848583322678,0.01028422782413011,5.258293157368684e-05,0.001899170009729375,-0.029322649129572543,0.030151877074743268,-0.28809791387837946,0.0,0.029156338201323215,-0.05538261053623746,-0.007079299033494758,-0.039669746083627395,-0.031697353634236,0.13370820557835292,-0.10006042213077032,-0.03453372937485459,0.03287400533641501,0.20393289022173872,2.1005063287781236,0.06819078959556608,8.063991034674329,7.149051681245711,3.0019004967646397,-3.449251152577037,1.006610187956818,-0.014962927707159408,0.10618688560927084,3.5231976619090317,5.369417273911622,4.572394602046794,0.0,5.538797976051803,3.085281288476741,5.242610962166761,-1.9050250602273657,2.5877587484746853,5.5018718396886825,-0.9765220587235608,-1.1727862013784216,5.310986310098721
2000-04-30,74.5,1.6779350000000002,1.05863,2.0164,0.63199,1.769625,1.4688750000000002,8.279285,7.787989999999999,43.6847,1110.3200000000002,9.393685,6.648000000000001,1.70959,7.887180000000001,105.627,3.8,8.62719,8.748615,74.1225,1.66565,30.520249999999997,37.99275,0.005744965142118752,0.04747653926105544,0.19037491920163352,0.1085217539324923,0.11558683573281547,0.17942893395997528,0.09590906056103465,0.000724788671435106,0.0014767848967595087,-0.015910518010615604,0.26430057892546266,0.2521399573994282,0.0,0.3032042628981363,0.18978446608516775,0.18530341584656274,0.031235028823215494,0.03181500491163003,0.18788200625381501,0.0206263100652343,0.06608947107297924,0.26171111726587704,0.31077294134149946,2.528372260879663,0.19037491920163352,10.31099065248747,6.012000882516641,2.860438197538297,-1.872051757344869,1.567556583223541,-0.006214456747462016,0.14766459668256016,3.191726392509245,7.492474368098485,4.01755887471955,0.0,8.096340010331087,3.7055670632653017,5.396896269907222,-2.5536049969528327,2.7790071929280615,8.274540831834907,-1.5137691308454033,-0.028253308434650348,7.391358205146375
2000-05-31,95.5909090909091,1.729309090909091,1.1040227272727272,2.125468181818182,0.6629272727272727,1.8277500000000002,1.4957363636363636,8.2781,7.790722727272728,44.075909090909086,1119.4863636363636,9.505872727272727,7.023818181818182,1.7285727272727271,8.232899999999999,108.32045454545455,3.8,9.053295454545454,9.09249090909091,74.86681818181818,1.7190090909090907,30.771818181818183,38.95136363636363,0.09874331015136179,0.014160863924154367,0.10407023784735801,0.2771199511363943,0.17858273915107203,0.05632538083193316,0.04904813448025019,-0.0014274790969720003,0.0021588274973697004,0.07418883818076548,-0.10555546643404906,-0.007873513243562457,0.0,-0.013741365758621817,0.01249215358625564,-0.09486296421384523,0.026764242819151986,0.13375814604152783,0.1257119210536622,0.08163706771731767,0.04912757061855828,-0.11372853683853706,1.2118927361827978,3.539051541672912,0.10407023784735801,13.366513104758969,11.309356941744834,7.660906649970382,1.3972610619362338,3.3932623543904437,-0.020527524624312662,0.18274937923710863,4.300703921074909,11.862264187643445,6.578814323395431,0.0,12.98769530555139,7.602620046848881,8.613949378638257,-1.7296595066298337,5.27861343184317,13.835862760254729,-0.6913469864136258,1.1808513683109518,11.667114218200298
2000-06-30,118.5,1.681240909090909,1.0522136363636365,2.1257,0.6626,1.8098636363636365,1.4770454545454543,8.277209090909091,7.793413636363636,44.76045454545454,1117.935,9.83434090909091,6.914659090909091,1.7277136363636365,7.850113636363636,106.12545454545456,3.800022727272727,8.680686363636363,8.747136363636365,76.73590909090909,1.6420454545454546,30.830454545454543,39.08681818181818,0.00514088807369937,0.26565324088147896,-0.20230836469363644,-0.11122743691222872,-0.04758459568981213,-0.056735896629579854,-0.054182290661919374,0.0004942389454274589,0.0019253590140655419,-0.01822563737419786,-0.10011656025929763,-0.06592155740271903,7.868518917239245e-08,-0.17706826768526931,-0.08212408222121982,-0.15316181965322928,-0.007329319375093402,-0.002050960742442073,-0.11564602331329832,-0.05977006801742795,0.1586744595044482,-0.10204977796248232,2.765993774885319,6.024296363729359,-0.20230836469363644,10.599186816706373,11.460601308882618,7.672742727172073,0.43975984407118446,2.1484290917503652,-0.03128823888560273,0.21729265579975768,4.254910295983482,7.183598436397864,4.5860683039119055,0.0005991877170501022,8.84870695035115,3.790370148153191,4.096238552025191,-1.5363142107886778,5.642769222000332,12.336581138036685,-0.8127925215979341,4.611749998042632,6.943293398964491
2000-07-31,140.45,1.7036850000000001,1.0655100000000002,2.175475,0.66333,1.7981500000000001,1.4777850000000001,8.27936,7.7968649999999995,44.840500000000006,1115.075,9.419225,6.8971,1.7413750000000001,7.947135,108.2115,3.8,8.71846,8.96398,78.8515,1.651905,30.983749999999997,40.31765,0.050303492889050005,-0.05054856513740158,0.15906799789663084,0.16427507411485132,0.04962379902966163,-0.07766444911205372,0.028178938878472004,0.000604017915214472,0.0017957252618133746,0.019519261338787897,0.14483827301280672,0.16564937181879458,0.0,0.16349713354089968,0.1968559587097246,0.11435158304942183,0.04208279409356808,0.266979278635337,0.12815256515354034,0.007956017301498086,-0.2442496352032264,0.1496922925199068,2.946446586479105,8.822480027742015,0.15906799789663084,11.97884897040241,13.83821044751825,7.804294609246151,-0.1965295464792508,2.206821416141567,-0.005304527235079348,0.2615819136784586,5.045881189725369,8.443027679067146,6.572648790573673,1.731074161792634e-06,9.308168420482897,6.273253393938968,4.72404828200564,-1.039844472942928,8.743512154964998,12.110540630652384,-1.065176865667078,0.3893474517180985,8.231581715017517
2000-08-31,162.0,1.721891304347826,1.1056782608695652,2.2475521739130433,0.671708695652174,1.809113043478261,1.482813043478261,8.279569565217392,7.799482608695652,45.76869565217392,1114.4669565217391,9.272434782608695,6.95695652173913,1.720591304347826,8.245878260869565,108.08043478260869,3.8,8.95263043478261,9.277086956521739,78.28260869565217,1.7148652173913042,31.106086956521743,40.88913043478261,0.07203037291197785,-0.01660557249932135,0.019745787714297653,0.2731074962784058,0.13849870569418998,0.10684920168129937,-0.0464972619529525,-0.0003149729655562416,0.00022323773361701186,-0.03232191059665932,0.18873215636203558,-0.12032883419885634,0.0,0.10820238404268002,0.12878441972653096,0.18946133875042717,0.00564417941680442,-0.04658856812669455,0.007634536064896662,-0.031597603223159944,-0.07821307604433742,0.18794147752793525,5.002422437635102,8.102286538977841,0.019745787714297653,13.094288116356843,17.123411780516232,9.070079741681155,0.4228197855032479,2.5575796573851695,-0.0027717726205631426,0.29515458032274433,3.8490227790067233,12.177904121882646,6.475007162572975,1.731074161792634e-06,11.998449886667851,9.749529570439757,8.508167898492756,-0.643854947594784,10.192733139434878,12.994896743689612,-1.1183569405067142,-1.1679327999217022,11.978105807600867
2000-09-30,184.45,1.81178,1.150405,2.398385,0.697785,1.839725,1.48643,8.278545,7.7985050000000005,45.968,1117.5700000000002,9.361475,7.1804749999999995,1.7405750000000002,8.584905000000001,106.8375,3.8,9.233055,9.685275,78.731,1.7586249999999999,31.197699999999998,41.992000000000004,0.018080951197612105,0.07008196804497324,0.315110096381091,0.23769567783282933,-0.08939406890904,0.06614900578288285,0.11791920997538674,0.0007249462809849616,-0.0013460732317327473,0.05280897062730883,0.031263683688050325,0.05919003143678825,0.0,-0.003427515594751629,0.09988651392387637,-0.04206507601257958,0.035961911842257166,0.15321499306889141,0.17320056087653246,0.030913350868436718,0.12945239338748693,0.02795488888526043,5.449708501580931,8.674496764852057,0.315110096381091,18.23419550761375,23.766949434189453,12.904893194226016,2.1103964764609424,2.811240267245673,-0.015143232183343347,0.28262726046578035,5.0067077775396385,16.27320915390819,5.348711627450149,1.731074161792634e-06,15.120592286427632,14.11434125869626,11.091043987279907,-0.3493048330696841,12.865919105158408,16.17908545474514,-0.8282975168587626,-0.20052258242091714,16.007831605816516
2000-10-31,205.76190476190476,1.8945142857142856,1.1733857142857143,2.4997285714285717,0.6893809523809524,1.8813333333333335,1.5124761904761905,8.278461904761905,7.797661904761905,46.4252380952381,1131.0990476190477,9.536952380952382,7.4901904761904765,1.752542857142857,8.727557142857144,108.44285714285715,3.8,9.37935238095238,9.993014285714285,79.29095238095238,1.7745476190476193,31.845714285714287,43.33380952380952,0.08621479843445433,0.015707827292434282,0.2128582283604474,0.1374486346741781,0.09349229739992299,0.16382857463788197,0.06419973271462043,-0.001322877749199676,0.0014665063631468826,0.04722942311904558,0.18429262244563227,0.05578185576434323,0.0,0.10935940817738278,0.18154460936423436,0.19440533505144705,0.15464242399505185,0.21255015763249777,0.22250935889209153,0.10070983123991435,0.06290873189309283,0.1953471572409353,6.445876947682267,9.387626524805793,0.2128582283604474,22.755440888569762,28.0074147228451,11.758986280701299,4.352448587202049,4.557340663186903,-0.016143559165419995,0.2718329577401749,5.695876249929659,17.98474009323998,6.865026746883356,1.731074161792634e-06,16.737934501195266,17.285396489678348,12.036590007881932,1.7103743029616945,16.045989644543518,20.433831527288476,0.40036817035570166,1.6691960150249694,18.04217585212121
